Producer ID,Title,Ref2,Ref,Counties,Category,Actor,Affiliation,Short Name,Website
35,Lukholele Robusta C.G.S. Ltd,XDA031,XDA31,Bungoma,Producer,Cooperative Society,,Lukholele Robusta,
36,Lukusi F.C.S. Ltd,XDA009,XDA09,Bungoma,Producer,Cooperative Society,,Lukusi,
37,Makhanga F.C.S. Ltd,XDA028,XDA28,Bungoma,Producer,Cooperative Society,,Makhanga,
38,Mayekwe F.C.S. Ltd,XDA020,XDA20,Bungoma,Producer,Cooperative Society,,Mayekwe,
39,Menu F.C.S. Ltd,XDA013,XDA13,Bungoma,Producer,Cooperative Society,,Menu,
40,Misikhu F.C.S. Ltd,XDA037,XDA37,Bungoma,Producer,Cooperative Society,,Misikhu,
41,Nakoyonjo F.C.S. Ltd,XDA014,XDA14,Bungoma,Producer,Cooperative Society,,Nakoyonjo,
42,Namangofulo F.C.S. Ltd,XDA005,XDA05,Bungoma,Producer,Cooperative Society,,Namangofulo,
43,Sasuri F.C.S. Ltd,XDA029,XDA29,Bungoma,Producer,Cooperative Society,,Sasuri,
44,Sibumba F.C.S. Ltd,XDA021,XDA21,Bungoma,Producer,Cooperative Society,,Sibumba,
45,Sirisia F.C.S. Ltd,XDA025,XDA25,Bungoma,Producer,Cooperative Society,,Sirisia,
46,Sominda C.G.C.S. Ltd,XDA034,XDA34,Bungoma,Producer,Cooperative Society,,Sominda,
47,Central Ngandori F.C.S. Ltd,XBD003,XBD03,Embu,Producer,Cooperative Society,,Central Ngandori,
48,Gakundu F.C.S. Ltd,XBD004,XBD04,Embu,Producer,Cooperative Society,,Gakundu,
49,Gatondo F.C.S. Ltd,XBD019,XBD19,Embu,Producer,Cooperative Society,,Gatondo,
50,Ivinge F.C.S. Ltd,XBD021,XBD21,Embu,Producer,Cooperative Society,,Ivinge,
51,Kagaari North F.C.S. Ltd,XBD012,XBD12,Embu,Producer,Cooperative Society,,Kagaari North,
52,Kagaari South F.C.S. Ltd,XBD014,XBD14,Embu,Producer,Cooperative Society,,Kagaari South,
53,Kamurai F.C.S. Ltd,XBD023,XBD23,Embu,Producer,Cooperative Society,,Kamurai,
54,Kanjugu F.C.S. Ltd,XBD020,XBD20,Embu,Producer,Cooperative Society,,Kanjugu,
55,Kiangagwa F.C.S. Ltd,XBD009,XBD09,Embu,Producer,Cooperative Society,,Kiangagwa,
56,Kibugu F.C.S. Ltd,XBD001,XBD01,Embu,Producer,Cooperative Society,,Kibugu,
57,Kirindiri F.C.S. Ltd,XBD022,XBD22,Embu,Producer,Cooperative Society,,Kirindiri,
58,Kirurumwe F.C.S. Ltd,XBD007,XBD07,Embu,Producer,Cooperative Society,,Kirurumwe,
59,Kithungururu F.C.S. Ltd,XBD024,XBD24,Embu,Producer,Cooperative Society,,Kithungururu,
60,Kiviuvi F.C.S. Ltd,XBD027,XBD27,Embu,Producer,Cooperative Society,,Kiviuvi,
61,Mikiki F.C.S. Ltd,XBD016,XBD16,Embu,Producer,Cooperative Society,,Mikiki,
62,Muramuki F.C.S. Ltd,XBD025,XBD25,Embu,Producer,Cooperative Society,,Muramuki,
63,Murue F.C.S. Ltd,XBD006,XBD06,Embu,Producer,Cooperative Society,,Murue,
64,Nembure F.C.S. Ltd,XBD015,XBD15,Embu,Producer,Cooperative Society,,Nembure,
65,New Kapingazi F.C.S. Ltd,XBD018,XBD18,Embu,Producer,Cooperative Society,,New Kapingazi,
66,New Kirimiri F.C.S. Ltd,XBD026,XBD26,Embu,Producer,Cooperative Society,,New Kirimiri,
67,New Kyeni F.C.S. Ltd,XBD011,XBD11,Embu,Producer,Cooperative Society,,New Kyeni,
68,New Runyenjes F.C.S. Ltd,XBD028,XBD28,Embu,Producer,Cooperative Society,,New Runyenjes,
69,Rianjagi F.C.S. Ltd,XBD017,XBD17,Embu,Producer,Cooperative Society,,Rianjagi,
70,Thambana F.C.S. Ltd,XBD005,XBD05,Embu,Producer,Cooperative Society,,Thambana,
71,Bunyore C.G.C.S. Ltd,XDB001,XDB01,Kakamega,Producer,Cooperative Society,,Bunyore,
72,Isukha C.G.C.S. Ltd,XDB005,XDB05,Kakamega,Producer,Cooperative Society,,Isukha,
73,Isukha-Ivugwi F.C.S. Ltd,XDB017,XDB17,Kakamega,Producer,Cooperative Society,,Isukha-Ivugwi,
74,Jebrok F.C.S. Ltd,XDB004,XDB04,Kakamega,Producer,Cooperative Society,,Jebrok,
75,Lunyerere F.C.S. Ltd,XDB003,XDB03,Vihiga,Producer,Cooperative Society,,Lunyerere,
76,Machine F.C.S. Ltd,XDB020,XDB20,Kakamega,Producer,Cooperative Society,,Machine,
77,Matete Coffee F.C.S. Ltd,XDB018,XDB18,Kakamega,Producer,Cooperative Society,,Matete Coffee,
78,Mlimba F.C.S. Ltd,XDB016,XDB16,Kakamega,Producer,Cooperative Society,,Mlimba,
79,Mumunyonzo F.C.S. Ltd,XDB013,XDB13,Kakamega,Producer,Cooperative Society,,Mumunyonzo,
80,Binyiny F.C.S. Ltd,XCE012,XCE12,Kericho,Producer,Cooperative Society,,Binyiny,
81,Boma F.C.S. Ltd,XCE033,XCE33,Kericho,Producer,Cooperative Society,,Boma,
82,Buchenge F.C.S. Ltd,XCE031,XCE31,Kericho,Producer,Cooperative Society,,Buchenge,
83,Burgei-Eut F.C.S. Ltd,XCE015,XCE15,Kericho,Producer,Cooperative Society,,Burgeieut,
84,Chemamul F.C.S. Ltd,XCF010,XCF10,Kericho,Producer,Cooperative Society,,Chemamul,
85,Chepkitar F.C.S. Ltd,XCE034,XCE34,Kericho,Producer,Cooperative Society,Chepkitar F.C.S. Ltd,,
86,Chepnorio F.C.S. Ltd,XCE007,XCE07,Kericho,Producer,Cooperative Society,,Chepnorio,
87,Cherara F.C.S. Ltd,XCE041,XCE41,Kericho,Producer,Cooperative Society,,Cherara,
88,Cheribo F.C.S. Ltd,XCI005,XCI05,Kericho,Producer,Cooperative Society,,Cheribo,
89,Chilchila F.C.S. Ltd,XCE045,XCE45,Kericho,Producer,Cooperative Society,,Chilchila,
90,East Sotik F.C.S. Ltd,XCE003,XCE03,Kericho,Producer,Cooperative Society,,East Sotik,
91,Kaabirer C.G.C.S. Ltd,XCF007,XCF07,Kericho,Producer,Cooperative Society,,Kaabirer,
92,Kabunyeria F.C.S. Ltd,XCF029,XCF29,Kericho,Producer,Cooperative Society,,,
93,Kamiwa F.C.S. Ltd,XCE002,XCE02,Kericho,Producer,Cooperative Society,,Kamiwa,
94,Kamno F.C.S. Ltd,XCF012,XCF12,Kericho,Producer,Cooperative Society,,Kamno,
95,Kapkiyai M.C. Soc. Ltd,XCF024,XCF24,Kericho,Producer,Cooperative Society,,Kapkiyai,
96,Kapngetuny F.C.S. Ltd,XCE005,XCE05,Kericho,Producer,Cooperative Society,,Kapngetuny,
97,Kapsaos Toretmoi F.C.S. Ltd,XCF004,XCF04,Kericho,Producer,Cooperative Society,,Kapsaos Toretmoi,
98,Kapsimotwo F.C.S. Ltd,XCF006,XCF06,Kericho,Producer,Cooperative Society,,Kapsimotwo,
99,Kasheen F.C.S. Ltd,XCE055,XCE55,Kericho,Producer,Cooperative Society,,Kasheen,
100,Kemeloi F.C.S. Ltd,XCF003,XCF03,Kericho,Producer,Cooperative Society,,Kemeloi,
101,Kiboywo F.C.S. Ltd,XCE024,XCE24,Kericho,Producer,Cooperative Society,,Kiboywo,
102,Kibukwo F.C.S. Ltd,XCF028,XCF28,Kericho,Producer,Cooperative Society,,Kibukwo,
103,Kibwareng F.C.S. Ltd,XCF027,XCF27,Kericho,Producer,Cooperative Society,,Kibwareng,
104,Kigirgei Multi-Purpose Co-Op Soc,XCF017,XCF17,Kericho,Producer,Cooperative Society,,Kigirgei,
105,Kimaran F.C.S. Ltd,XCF011,XCF11,Kericho,Producer,Cooperative Society,,Kimaran,
106,Kimologit F.C.S. Ltd,XCE006,XCE06,Kericho,Producer,Cooperative Society,,Kimologit,
107,Koisagat F.C.S. Ltd,XCE032,XCE32,Kericho,Producer,Cooperative Society,,Koisagat,
108,Kunyak F.C.S. Ltd,XCE042,XCE42,Kericho,Producer,Cooperative Society,,Kunyak,
109,Kutit F.C.S. Ltd,XCF021,XCF21,Kericho,Producer,Cooperative Society,,Kutit,
110,Laliat F.C.S. Ltd,XCE008,XCE08,Kericho,Producer,Cooperative Society,,Laliat,
111,Lelu F.C.S. Ltd,XCE044,XCE44,Kericho,Producer,Cooperative Society,,Lelu,
112,Maraba F.C.S. Ltd,XCF019,XCF19,Kericho,Producer,Cooperative Society,,Maraba,
113,Masare Multi-Purpose C.S. Ltd,XCE053,XCE53,Kericho,Producer,Cooperative Society,,Masare,
114,Mujasa F.C.S. Ltd,,Mujasa F.C.S. Ltd,Kericho,Producer,Cooperative Society,,Mujasa,
115,Mutaragon F.C.S. Ltd,XCE043,XCE43,Kericho,Producer,Cooperative Society,,Mutaragon,
116,Ndalat F.C.S. Ltd,XCF013,XCF13,Kericho,Producer,Cooperative Society,,Ndalat,
117,Nyambugo C.G.C.S. Ltd,XCE035,XCE35,Kericho,Producer,Cooperative Society,,Nyambugo,
118,Sarora F.C.S. Ltd,XCF001,XCF01,Kericho,Producer,Cooperative Society,,Sarora,
119,Siongiroi F.C.S. Ltd,XCE052,XCE52,Kericho,Producer,Cooperative Society,,Siongiroi,
120,Siwot F.C.S. Ltd,XCE029,XCE29,Kericho,Producer,Cooperative Society,,Siwot,
121,Sombo F.C.S. Ltd,XCE017,XCE17,Kericho,Producer,Cooperative Society,,Sombo,
122,Songonyet F.C.S. Ltd,XCE046,XCE46,Kericho,Producer,Cooperative Society,,Songonyet,
123,Sorwot F.C.S. Ltd,XCE026,XCE26,Kericho,Producer,Cooperative Society,,Sorwot,
124,South Nandi F.C.S. Ltd,XCF002,XCF02,Kericho,Producer,Cooperative Society,,South Nandi,
125,Soymingin Multi-Purpose,XCE021,XCE21,Kericho,Producer,Cooperative Society,,Soymingin,
126,Tech-Gaa F.C.S. Ltd,XCE022,XCE22,Kericho,Producer,Cooperative Society,,Tech-Gaa,
127,Toroton F.C.S. Ltd,XCF018,XCF18,Kericho,Producer,Cooperative Society,,Toroton,
128,Torsogek F.C.S. Ltd,XCE004,XCE04,Kericho,Producer,Cooperative Society,,Torsogek,
129,Tuiyabet F.C.S. Ltd,XCE011,XCE11,Kericho,Producer,Cooperative Society,,Tuiyabet,
130,Urafiki F.C.S. Ltd,XCE020,XCE20,Kericho,Producer,Cooperative Society,,Urafiki,
131,Gathage F.C.S Ltd,XAA012,XAA12,Kiambu,Producer,Cooperative Society,,Gathage,
132,Gatunyu Kigio F.C.S Ltd,XAB040,XAB40,Kiambu,Producer,Cooperative Society,,Gatunyu Kigio,
133,Gititu F.C.S. Ltd,XAA001,XAA01,Kiambu,Producer,Cooperative Society,,Gititu,
134,Gitwe F.C.S Ltd,XAA019,XAA19,Kiambu,Producer,Cooperative Society,,Gitwe,
135,Ichaweri F.C.S Ltd,XAA018,XAA18,Kiambu,Producer,Cooperative Society,,Ichaweri,
136,Kabete & Muguga C.G.C.S. Ltd,XAA005,XAA05,Kiambu,Producer,Cooperative Society,,Kabete & Muguga,
137,Kangoriaki F.C.S Ltd,XAB042,XAB42,Kiambu,Producer,Cooperative Society,,Kangoriaki,
138,Kiambaa F.C.S. Ltd,XAA002,XAA02,Kiambu,Producer,Cooperative Society,,Kiambaa,
139,Kimaratia F.C.S Ltd,XAA027,XAA27,Kiambu,Producer,Cooperative Society,,Kimaratia,
140,Kinogerama F.C.S Ltd,XAB044,XAB44,Kiambu,Producer,Cooperative Society,,Kinogerama,
141,Komothai C.G.C.S. Ltd,XAA003,XAA03,Kiambu,Producer,Cooperative Society,,Komothai,
142,Mikari C.G.C.S. Ltd,XAA010,XAA10,Kiambu,Producer,Cooperative Society,,Mikari,
143,Muhara F.C.S Ltd,XAA017,XAA17,Kiambu,Producer,Cooperative Society,,Muhara,
144,Ndumberi F.C.S Ltd,XAA011,XAA11,Kiambu,Producer,Cooperative Society,,Ndumberi,
145,Nembu F.C.S Ltd,XAA030,XAA30,Kiambu,Producer,Cooperative Society,,Nembu,
146,New Gatanga F.C.S Ltd,XAB043,XAB43,Kiambu,Producer,Cooperative Society,,New Gatanga,
147,New Gatukuyu F.C.S Ltd,XAA031,XAA31,Kiambu,Producer,Cooperative Society,,New Gatukuyu,
148,Numa C.G C Soc. Ltd,XAA028,XAA28,Kiambu,Producer,Cooperative Society,,Numa,
149,Nyakiri F.C.S Ltd,XAA029,XAA29,Kiambu,Producer,Cooperative Society,,Nyakiri,
150,Ritho F.C.S. Ltd,XAA020,XAA20,Kiambu,Producer,Cooperative Society,,Ritho,
151,Theta F.C.S. Ltd,XAA026,XAA26,Kiambu,Producer,Cooperative Society,,Theta,
152,Thikagiki F.C.S. Ltd,XAB041,XAB41,Kiambu,Producer,Cooperative Society,,Thikagiki,
153,Thiririka F.C.S. Ltd,XAA025,XAA25,Kiambu,Producer,Cooperative Society,,Thiririka,
154,Baragwi F.C.S. Ltd,XAD003,XAD03,Kirinyaga,Producer,Cooperative Society,,Baragwi,
155,Inoi F.C.S. Ltd,XAD001,XAD01,Kirinyaga,Producer,Cooperative Society,,Inoi,
156,Kabare F.C.S. Ltd,XAD002,XAD02,Kirinyaga,Producer,Cooperative Society,,Kabare,
157,Kanjuu F.C.S. Ltd,XAD020,XAD20,Kirinyaga,Producer,Cooperative Society,,Kanjuu,
158,Karithathi F.C.S. Ltd,XAD018,XAD18,Kirinyaga,Producer,Cooperative Society,,Karithathi,
159,Kibirigwi F.C.S. Ltd,XAD007,XAD07,Kirinyaga,Producer,Cooperative Society,,Kibirigwi,
160,Kiburi F.C.S. Ltd,XAD012,XAD12,Kirinyaga,Producer,Cooperative Society,,Kiburi,
161,Mirichi F.C.S. Ltd,XAD017,XAD17,Kirinyaga,Producer,Cooperative Society,,Mirichi,
162,Mutira F.C.S. Ltd,XAD005,XAD05,Kirinyaga,Producer,Cooperative Society,,Mutira,
163,Mwirua F.C.S. Ltd,XAD006,XAD06,Kirinyaga,Producer,Cooperative Society,,Mwirua,
164,New Ngariama F.C.S. Ltd,XAD013,XAD13,Kirinyaga,Producer,Cooperative Society,,New Ngariama,
165,Ngiriambu F.C.S. Ltd,XAD019,XAD19,Kirinyaga,Producer,Cooperative Society,,Ngiriambu,
166,Rungeto F.C.S. Ltd,XAD014,XAD14,Kirinyaga,Producer,Cooperative Society,,Rungeto,
167,Rwama F.C.S. Ltd,XAD015,XAD15,Kirinyaga,Producer,Cooperative Society,,Rwama,
168,Thirikwa F.C.S. Ltd,XAD016,XAD16,Kirinyaga,Producer,Cooperative Society,,Thirikwa,
169,Urumandi F.C.S. Ltd,XAD011,XAD11,Kirinyaga,Producer,Cooperative Society,,Urumandi,
170,Bisembe F.C.S. Ltd,XEA030,XEA30,Nyamira,Producer,Cooperative Society,,Bisembe,
171,Eaka F.C.S. Ltd,XEA005,XEA05,Kisii,Producer,Cooperative Society,,Eaka,
172,Gakero F.C.S. Ltd,XEA025,XEA25,Nyamira,Producer,Cooperative Society,,Gakero,
173,Gesarara F.C.S. Ltd,XEA007,XEA07,Kisii,Producer,Cooperative Society,,Gesarara,
174,Girango F.C.S. Ltd,XEA019,XEA19,Kisii,Producer,Cooperative Society,,Girango,
175,Irunya Multi-Purpose F.C.S. Ltd,XEA028,XEA28,Kisii,Producer,Cooperative Society,,Irunya,
176,Iyabe F.C.S. Ltd,XEA027,XEA27,Nyamira,Producer,Cooperative Society,,Iyabe,
177,Kemera F.C.S. Ltd,XEA006,XEA06,Kisii,Producer,Cooperative Society,,Kemera,
178,Kenyenya F.C.S. Ltd,XEA017,XEA17,Nyamira,Producer,Cooperative Society,,Kenyenya,
179,Kenyoro F.C.S. Ltd,XEA012,XEA12,Kisii,Producer,Cooperative Society,,Kenyoro,
180,Kiomooncha F.C.S. Ltd,XEA016,XEA16,Kisii,Producer,Cooperative Society,,Kiomooncha,
181,Magwagwa F.C.S. Ltd,XEA026,XEA26,Kisii,Producer,Cooperative Society,,Magwagwa,
182,Marani F.C.S. Ltd,XEA008,XEA08,Kisii,Producer,Cooperative Society,,Marani,
183,Mobamba F.C.S. Ltd,XEA010,XEA10,Kisii,Producer,Cooperative Society,,Mobamba,
184,Mogunga F.C.S. Ltd,XEA002,XEA02,Kisii,Producer,Cooperative Society,,Mogunga,
185,Morumba F.C.S. Ltd,XEA009,XEA09,Kisii,Producer,Cooperative Society,,Morumba,
186,Nyabomite F.C.S. Ltd,XEA014,XEA14,Kisii,Producer,Cooperative Society,,Nyabomite,
187,Nyachenge F.C.S. Ltd,XEA020,XEA20,Nyamira,Producer,Cooperative Society,,Nyachenge,
188,Nyaguta F.C.S. Ltd,XEA015,XEA15,Kisii,Producer,Cooperative Society,,Nyaguta,
189,Nyaigwa F.C.S. Ltd,XEA018,XEA18,Kisii,Producer,Cooperative Society,,Nyaigwa,
190,Nyakoe F.C.S. Ltd,XEA013,XEA13,Kisii,Producer,Cooperative Society,,Nyakoe,
191,Nyamache F.C.S. Ltd,XEA024,XEA24,Nyamira,Producer,Cooperative Society,,Nyamache,
192,Nyamarambe F.C.S. Ltd,XEA021,XEA21,Nyamira,Producer,Cooperative Society,,Nyamarambe,
193,Nyambunde F.C.S. Ltd,XEA023,XEA23,Nyamira,Producer,Cooperative Society,,Nyambunde,
194,Nyamonya F.C.S. Ltd,XEA011,XEA11,Nyamira,Producer,Cooperative Society,,Nyamonya,
195,Nyamosongo F.C.S. Ltd,XEA029,XEA29,Nyamira,Producer,Cooperative Society,,Nyamosongo,
196,Nyaturubo F.C.S. Ltd,XEA003,XEA03,Kisii,Producer,Cooperative Society,,Nyaturubo,
197,Nyosia F.C.S. Ltd,XEA004,XEA04,Kisii,Producer,Cooperative Society,,Nyosia,
198,Riasuta F.C.S. Ltd,XEA022,XEA22,Nyamira,Producer,Cooperative Society,,Riasuta,
199,Ithaeni F.C.S. Ltd,XBE029,XBE29,Machakos,Producer,Cooperative Society,,Ithaeni,
200,Kakuyuni F.C.S. Ltd,XBE008,XBE08,Machakos,Producer,Cooperative Society,,Kakuyuni,
201,Kaliluni F.C.S. Ltd,XBE025,XBE25,Machakos,Producer,Cooperative Society,,Kaliluni,
202,Kambusu F.C.S. Ltd,XBE019,XBE19,Machakos,Producer,Cooperative Society,,Kambusu,
203,Kamuthanga C.G.C.S Ltd,XBE036,XBE36,Machakos,Producer,Cooperative Society,,Kamuthanga,
204,Kasinga F.C.S. Ltd,XBE027,XBE27,Machakos,Producer,Cooperative Society,,Kasinga,
205,Katelembo Athiani Mubuti C.S. Ltd,XBE038,XBE38,Machakos,Producer,Cooperative Society,,Katelembo Athiani Mubuti,
206,Kawethei F.C.S. Ltd,XBE024,XBE24,Machakos,Producer,Cooperative Society,,Kawethei,
207,Kilalani F.C.S. Ltd,XBE011,XBE11,Machakos,Producer,Cooperative Society,,Kilalani,
208,Kingoti F.C.S. Ltd,XBE021,XBE21,Machakos,Producer,Cooperative Society,,Kingoti,
209,Kitwii C.G.C.S. Ltd,XBE005,XBE05,Machakos,Producer,Cooperative Society,,Kitwii,
210,Kwa-Kiinyu F.C.S. Ltd,XBE031,XBE31,Machakos,Producer,Cooperative Society,,Kwa-Kiinyu,
211,Kwa-MatingÕI F.C.S. Ltd,XBE023,XBE23,Machakos,Producer,Cooperative Society,,Kwa-MatingÕi,
212,Kyaume F.C.S. Ltd,XBE022,XBE22,Machakos,Producer,Cooperative Society,,Kyaume,
213,Maputi F.C.S. Ltd,XBE007,XBE07,Machakos,Producer,Cooperative Society,,Maputi,
214,Mbilini C.G.C.S. Ltd,XBE010,XBE10,Machakos,Producer,Cooperative Society,,Mbilini,
215,Misakwani F.C.S. Ltd,XBE034,XBE34,Machakos,Producer,Cooperative Society,,Misakwani,
216,Mua F.C.S. Ltd,XBE037,XBE37,Machakos,Producer,Cooperative Society,,Mua,
217,Muisuni F.C.S. Ltd,XBE009,XBE09,Machakos,Producer,Cooperative Society,,Muisuni,
218,Mukuyuni F.C.S. Ltd,XBE028,XBE28,Machakos,Producer,Cooperative Society,,Mukuyuni,
219,MungÕAla F.C.S. Ltd,XBE032,XBE32,Machakos,Producer,Cooperative Society,,MungÕala,
220,Musilili F.C.S. Ltd,XBE030,XBE30,Machakos,Producer,Cooperative Society,,Musilili,
221,Muthunzuuni F.C.S. Ltd,XBE035,XBE35,Machakos,Producer,Cooperative Society,,Muthunzuuni,
222,Mwatati Farmers Co-Soc.,XBE018,XBE18,Machakos,Producer,Cooperative Society,,Mwatati Farmers,
223,New Mitaboni F.C.S. Ltd,XBE006,XBE06,Machakos,Producer,Cooperative Society,,New Mitaboni,
224,Ngomano F.C.S. Ltd,XBE033,XBE33,Machakos,Producer,Cooperative Society,,Ngomano,
225,Sengani F.C.S. Ltd,XBE017,XBE17,Machakos,Producer,Cooperative Society,,Sengani,
226,Tendelyani F.C.S. Ltd,XBE026,XBE26,Machakos,Producer,Cooperative Society,,Tendelyani,
227,Kikima F.C.S. Ltd,XBE004,XBE04,Makueni,Producer,Cooperative Society,,Kikima,
228,Kithangathini F.C.S. Ltd,XBE002,XBE02,Makueni,Producer,Cooperative Society,,Kithangathini,
229,Kithumani C.G.C.S. Ltd,XBE012,XBE12,Makueni,Producer,Cooperative Society,,Kithumani,
230,3K F.C.S. Ltd,,3K F.C.S. Ltd,Meru,Producer,Cooperative Society,,3K,
231,Amukui F.C.S. Ltd,XBA030,XBA30,Meru,Producer,Cooperative Society,,Amukui,
232,Gikongoro F.C.S. Ltd,XBB051,XBB51,Makueni,Producer,Cooperative Society,,Gikongoro,
233,Gikurwa Igoji F.C.S. Ltd,XBB072,XBB72,Makueni,Producer,Cooperative Society,,Gikurwa Igoji,
234,Igento F.C.S. Ltd,XBA015,XBA15,Meru,Producer,Cooperative Society,,Igento,
235,Kaguru F.C.S. Ltd,XBB030,XBB30,Makueni,Producer,Cooperative Society,,Kaguru,
236,Kaliati F.C.S. Ltd,XBA027,XBA27,Meru,Producer,Cooperative Society,,Kaliati,
237,Kalithiria F.C.S. Ltd,XBA033,XBA33,Meru,Producer,Cooperative Society,,Kalithiria,
238,Kanjalu F.C.S. Ltd,XBA025,XBA25,Meru,Producer,Cooperative Society,,Kanjalu,
239,Karia F.C.S. Ltd,XBB027,XBB27,Makueni,Producer,Cooperative Society,,Karia,
240,Karingene F.C.S. Ltd,XBB049,XBB49,Makueni,Producer,Cooperative Society,,Karingene,
241,Kathangene F.C.S. Ltd,XBB061,XBB61,Makueni,Producer,Cooperative Society,,Kathangene,
242,Kathera F.C.S. Ltd,XBB067,XBB67,Makueni,Producer,Cooperative Society,,Kathera,
243,Katheri F.C.S. Ltd,XBB004,XBB04,Makueni,Producer,Cooperative Society,,Katheri,
244,Kiangua F.C.S. Ltd,XBB013,XBB13,Makueni,Producer,Cooperative Society,,Kiangua,
245,Kianjuri F.C.S. Ltd,XBB005,XBB05,Makueni,Producer,Cooperative Society,,Kianjuri,
246,Kiegucia F.C.S. Ltd,XBB065,XBB65,Makueni,Producer,Cooperative Society,,Kiegucia,
247,Kigari F.C.S. Ltd,XBB044,XBB44,Makueni,Producer,Cooperative Society,,Kigari,
248,Kirugui F.C.S. Ltd,XBB062,XBB62,Makueni,Producer,Cooperative Society,,Kirugui,
249,Kithangari F.C.S. Ltd,XBB071,XBB71,Makueni,Producer,Cooperative Society,,Kithangari,
250,Kitheo F.C.S. Ltd,,Kitheo F.C.S. Ltd,Meru,Producer,Cooperative Society,,Kitheo,
251,Kithima F.C.S. Ltd,XBB025,XBB25,Makueni,Producer,Cooperative Society,,Kithima,
252,Kithino F.C.S. Ltd,XBB008,XBB08,Makueni,Producer,Cooperative Society,,Kithino,
253,Lower Abogeta F.C.S. Ltd,XBB066,XBB66,Makueni,Producer,Cooperative Society,,Lower Abogeta,
254,Mariara F.C.S Ltd,XBB010,XBB10,Makueni,Producer,Cooperative Society,,Mariara,
